id,text,sentiment,text_original,tokens
28794,المغرب,neutre,المغرب,['المغرب']
28795,دكاتره,neutre,دكاتره,['دكاتره']
28796,تعلمنا السرال,neutre,تعلمنا السرال,"['تعلمنا', 'السرال']"
28797,خص ترجمه الكلام لكي يفهم,neutre,خص ترجمه الكلام لكي يفهم,"['خص', 'ترجمه', 'الكلام', 'لكي', 'يفهم']"
28798,سلام فضلا امرا نريد سلسه لتفصيل القضيه,neutre,سلام فضلا امرا نريد سلسه لتفصيل القضيه,"['سلام', 'فضلا', 'امرا', 'نريد', 'سلسه', 'لتفصيل', 'القضيه']"
28799,الدوله العلويه قامت 661666,neutre,الدوله العلويه قامت 661666,"['الدوله', 'العلويه', 'قامت', '661666']"
28800,الملوي اعلم,neutre,الملوي اعلم,"['الملوي', 'اعلم']"
28801,وانتهينا الغربيه حان وقت الشرقيه,neutre,وانتهينا الغربيه حان وقت الشرقيه,"['وانتهينا', 'الغربيه', 'حان', 'وقت', 'الشرقيه']"
28802,بماذا تفسر محاوله ميمي ارجاع العلاقات,neutre,بماذا تفسر محاوله ميمي ارجاع العلاقات,"['بماذا', 'تفسر', 'محاوله', 'ميمي', 'ارجاع', 'العلاقات']"
28803,النوع الخطاب علاقه باخلاقنا الاسلاميه تجاه اخوتنا الجزائريينالمشكل النظام الجزائري وليس اخواننا الجزائريين,neutre,النوع الخطاب علاقه باخلاقنا الاسلاميه تجاه اخوتنا الجزائريينالمشكل النظام الجزائري وليس اخواننا الجزائريين,"['النوع', 'الخطاب', 'علاقه', 'باخلاقنا', 'الاسلاميه', 'تجاه', 'اخوتنا', 'الجزائريينالمشكل', 'النظام', 'الجزائري', 'وليس', 'اخواننا', 'الجزائريين']"
28804,يسال يوجاوب,neutre,يسال يوجاوب,"['يسال', 'يوجاوب']"
28805,ايا دكتور,neutre,ايا دكتور,"['ايا', 'دكتور']"
27010,الحلقه ديجا صورناها قبل، تسناتش لينا الفرصه باش نخرجوها فداك الوقت اليوم قررنا ننشروها باش نكملو النقاش بديناه علي ارتفاع الاسعارونعطيو صوره كامله شحال واصله عندكم الاسعار المنطقه ديالكم فاللحوم البيضاء,neutre,الحلقه ديجا صورناها قبل، تسناتش لينا الفرصه باش نخرجوها فداك الوقت اليوم قررنا ننشروها باش نكملو النقاش بديناه علي ارتفاع الاسعارونعطيو صوره كامله شحال واصله عندكم الاسعار المنطقه ديالكم فاللحوم البيضاء,"['الحلقه', 'ديجا', 'صورناها', 'قبل،', 'تسناتش', 'لينا', 'الفرصه', 'باش', 'نخرجوها', 'فداك', 'الوقت', 'اليوم', 'قررنا', 'ننشروها', 'باش', 'نكملو', 'النقاش', 'بديناه', 'علي', 'ارتفاع', 'الاسعارونعطيو', 'صوره', 'كامله', 'شحال', 'واصله', 'عندكم', 'الاسعار', 'المنطقه', 'ديالكم', 'فاللحوم', 'البيضاء']"
27011,inspiration الدحيح,positif,inspiration الدحيح,"['inspiration', 'الدحيح']"
27012,وبزااااااف البلابلا باش تقول السمساره كيتحكمو فالاسعار وراه عارفينها زمان,négatif,وبزااااااف البلابلا باش تقول السمساره كيتحكمو فالاسعار وراه عارفينها زمان,"['وبزااااااف', 'البلابلا', 'باش', 'تقول', 'السمساره', 'كيتحكمو', 'فالاسعار', 'وراه', 'عارفينها', 'زمان']"
27013,شكرا لكم لفريق العمل,positif,شكرا لكم لفريق العمل,"['شكرا', 'لكم', 'لفريق', 'العمل']"
27014,افضل محتوي المغرب,positif,افضل محتوي المغرب,"['افضل', 'محتوي', 'المغرب']"
27015,الله يحفظك,positif,الله يحفظك,"['الله', 'يحفظك']"
27016,الدوله الذياب,négatif,الدوله الذياب,"['الدوله', 'الذياب']"
27017,شكون جا السي الخراز شكر القناه فحلقات رمضان,positif,شكون جا السي الخراز شكر القناه فحلقات رمضان,"['شكون', 'جا', 'السي', 'الخراز', 'شكر', 'القناه', 'فحلقات', 'رمضان']"
27018,لقاوها سايبه وكتزيد تكفس,négatif,لقاوها سايبه وكتزيد تكفس,"['لقاوها', 'سايبه', 'وكتزيد', 'تكفس']"
27019,الدوله كتعاون وهما كصدروه ماخصهاش تدعم خاصها تحاسب وتعاقب,négatif,الدوله كتعاون وهما كصدروه ماخصهاش تدعم خاصها تحاسب وتعاقب,"['الدوله', 'كتعاون', 'وهما', 'كصدروه', 'ماخصهاش', 'تدعم', 'خاصها', 'تحاسب', 'وتعاقب']"
27020,فيديوا شبعان معلومه خاصوا يطلع,positif,فيديوا شبعان معلومه خاصوا يطلع,"['فيديوا', 'شبعان', 'معلومه', 'خاصوا', 'يطلع']"
27021,خلال الهضره، كنزيدو نتاكدو بلي عايشين فوسط غابه بزااف الغول، مستنقع عامر بالفساد,négatif,خلال الهضره، كنزيدو نتاكدو بلي عايشين فوسط غابه بزااف الغول، مستنقع عامر بالفساد,"['خلال', 'الهضره،', 'كنزيدو', 'نتاكدو', 'بلي', 'عايشين', 'فوسط', 'غابه', 'بزااف', 'الغول،', 'مستنقع', 'عامر', 'بالفساد']"
27022,اخي السوينكا مقترح حل لهاد المشكل منكونوش شركات التنميه فكل جهه مهمتها تربيه الدواجن انتاج البيض بطبيعه الحال غادي تتدعم طرف ميزانيه الجهه فالبديه بينما توقف علي رجليها كذي الخواص يتم تسويق المنتوجات فالجهه كلها باثمنه المتناول فنفس الوقت غادي تخلق فرص الشغل لابناء الجهه الجهه غادي تستافد العائدات الاستثماريه نجاح المشروع مجرد راي,neutre,اخي السوينكا مقترح حل لهاد المشكل منكونوش شركات التنميه فكل جهه مهمتها تربيه الدواجن انتاج البيض بطبيعه الحال غادي تتدعم طرف ميزانيه الجهه فالبديه بينما توقف علي رجليها كذي الخواص يتم تسويق المنتوجات فالجهه كلها باثمنه المتناول فنفس الوقت غادي تخلق فرص الشغل لابناء الجهه الجهه غادي تستافد العائدات الاستثماريه نجاح المشروع مجرد راي,"['اخي', 'السوينكا', 'مقترح', 'حل', 'لهاد', 'المشكل', 'منكونوش', 'شركات', 'التنميه', 'فكل', 'جهه', 'مهمتها', 'تربيه', 'الدواجن', 'انتاج', 'البيض', 'بطبيعه', 'الحال', 'غادي', 'تتدعم', 'طرف', 'ميزانيه', 'الجهه', 'فالبديه', 'بينما', 'توقف', 'علي', 'رجليها', 'كذي', 'الخواص', 'يتم', 'تسويق', 'المنتوجات', 'فالجهه', 'كلها', 'باثمنه', 'المتناول', 'فنفس', 'الوقت', 'غادي', 'تخلق', 'فرص', 'الشغل', 'لابناء', 'الجهه', 'الجهه', 'غادي', 'تستافد', 'العائدات', 'الاستثماريه', 'نجاح', 'المشروع', 'مجرد', 'راي']"
27023,16dh للكيلو,neutre,16dh للكيلو,"['16dh', 'للكيلو']"
27024,walakin bghit nfhm bash tstawred berra khasek tkon ka tentami fidiralia ewaa shnu shurut bash tnkharet fiha tstawred taman mezian tkon shwiya nazaha,négatif,walakin bghit nfhm bash tstawred berra khasek tkon ka tentami fidiralia ewaa shnu shurut bash tnkharet fiha tstawred taman mezian tkon shwiya nazaha,"['walakin', 'bghit', 'nfhm', 'bash', 'tstawred', 'berra', 'khasek', 'tkon', 'ka', 'tentami', 'fidiralia', 'ewaa', 'shnu', 'shurut', 'bash', 'tnkharet', 'fiha', 'tstawred', 'taman', 'mezian', 'tkon', 'shwiya', 'nazaha']"
27025,1550 dhs,neutre,1550 dhs,"['1550', 'dhs']"
27026,125,neutre,125,['125']
27027,7al9a nadia diro nafss lban lo7om hamra,positif,7al9a nadia diro nafss lban lo7om hamra,"['7al9a', 'nadia', 'diro', 'nafss', 'lban', 'lo7om', 'hamra']"
27028,13dh,neutre,13dh,['13dh']
27029,حلقه وقتها,positif,حلقه وقتها,"['حلقه', 'وقتها']"
27030,اصلا دجاج كناكلو الحنز الاحسن ينقارض,négatif,اصلا دجاج كناكلو الحنز الاحسن ينقارض,"['اصلا', 'دجاج', 'كناكلو', 'الحنز', 'الاحسن', 'ينقارض']"
27031,عندنا وصل 18 درهم للكيلوا,neutre,عندنا وصل 18 درهم للكيلوا,"['عندنا', 'وصل', '18', 'درهم', 'للكيلوا']"
27032,اليوم الاحد 15 فبراير 2026 عندنا سلا حي شعبي 1850 درهم ونفس الرياش كيبيع البارح 16 درهم يعني البارح واليوم تزادت 25 درهم,négatif,اليوم الاحد 15 فبراير 2026 عندنا سلا حي شعبي 1850 درهم ونفس الرياش كيبيع البارح 16 درهم يعني البارح واليوم تزادت 25 درهم,"['اليوم', 'الاحد', '15', 'فبراير', '2026', 'عندنا', 'سلا', 'حي', 'شعبي', '1850', 'درهم', 'ونفس', 'الرياش', 'كيبيع', 'البارح', '16', 'درهم', 'يعني', 'البارح', 'واليوم', 'تزادت', '25', 'درهم']"
27033,بغيت نتواصل مصطفي سوينغه بغيتو ضروري عفاكم طلعو كومنطير باش اشوفو ظروري,neutre,بغيت نتواصل مصطفي سوينغه بغيتو ضروري عفاكم طلعو كومنطير باش اشوفو ظروري,"['بغيت', 'نتواصل', 'مصطفي', 'سوينغه', 'بغيتو', 'ضروري', 'عفاكم', 'طلعو', 'كومنطير', 'باش', 'اشوفو', 'ظروري']"
27034,17 dh mekns,neutre,17 dh mekns,"['17', 'dh', 'mekns']"
27035,18 طنجه,neutre,18 طنجه,"['18', 'طنجه']"
27036,الحلقه وضحت لينا المغرب الشفاره المسؤولين، وحتي الناس اللي عندهم سلطه كيمارسوها علي عباد الله بطرق ظالمه الحمد لله اللي خرجت البلاد اللي فنظري عمرها غادي تصلح، الا عندو الجراه يدير قانون صارم لاسترجاع الممتلكات كبار الشفاره، اخنوش، ويتنزعو منهم الشركات ديالهم وترجع ملك للدوله، وبهذا نكونو سالينا,négatif,الحلقه وضحت لينا المغرب الشفاره المسؤولين، وحتي الناس اللي عندهم سلطه كيمارسوها علي عباد الله بطرق ظالمه الحمد لله اللي خرجت البلاد اللي فنظري عمرها غادي تصلح، الا عندو الجراه يدير قانون صارم لاسترجاع الممتلكات كبار الشفاره، اخنوش، ويتنزعو منهم الشركات ديالهم وترجع ملك للدوله، وبهذا نكونو سالينا,"['الحلقه', 'وضحت', 'لينا', 'المغرب', 'الشفاره', 'المسؤولين،', 'وحتي', 'الناس', 'اللي', 'عندهم', 'سلطه', 'كيمارسوها', 'علي', 'عباد', 'الله', 'بطرق', 'ظالمه', 'الحمد', 'لله', 'اللي', 'خرجت', 'البلاد', 'اللي', 'فنظري', 'عمرها', 'غادي', 'تصلح،', 'الا', 'عندو', 'الجراه', 'يدير', 'قانون', 'صارم', 'لاسترجاع', 'الممتلكات', 'كبار', 'الشفاره،', 'اخنوش،', 'ويتنزعو', 'منهم', 'الشركات', 'ديالهم', 'وترجع', 'ملك', 'للدوله،', 'وبهذا', 'نكونو', 'سالينا']"
27037,حن 2026,neutre,حن 2026,"['حن', '2026']"
27038,مخاصوش ايفوت 12dh kilo,neutre,مخاصوش ايفوت 12dh kilo,"['مخاصوش', 'ايفوت', '12dh', 'kilo']"
27039,ههه حتي بان ليك اخنوش غادي اوتنا تنزلها برافو غادي غادي معاك,positif,ههه حتي بان ليك اخنوش غادي اوتنا تنزلها برافو غادي غادي معاك,"['ههه', 'حتي', 'بان', 'ليك', 'اخنوش', 'غادي', 'اوتنا', 'تنزلها', 'برافو', 'غادي', 'غادي', 'معاك']"
27040,تقارن اسعار 2005 اسعار 2026 يجب مقارنه التضخم القطاع خاصه الاعلاف المحروقات الكهرباء احور العمالx000d اخدت هاته العوامل ستري اسعار الدجاج مواد اخري عاديه خاصه مقارنه الاجور 2005 2025x000d العمل الرئيس اللذي يحدث احساس بالغلاء نفسيه المواطن الناقم علي شيء x000d المتاثر بالاسعار الغلاء الاسر الفقيره المحدوده الدخلx000d تحياتي,négatif,تقارن اسعار 2005 اسعار 2026 يجب مقارنه التضخم القطاع خاصه الاعلاف المحروقات الكهرباء احور العمالx000d اخدت هاته العوامل ستري اسعار الدجاج مواد اخري عاديه خاصه مقارنه الاجور 2005 2025x000d العمل الرئيس اللذي يحدث احساس بالغلاء نفسيه المواطن الناقم علي شيء x000d المتاثر بالاسعار الغلاء الاسر الفقيره المحدوده الدخلx000d تحياتي,"['تقارن', 'اسعار', '2005', 'اسعار', '2026', 'يجب', 'مقارنه', 'التضخم', 'القطاع', 'خاصه', 'الاعلاف', 'المحروقات', 'الكهرباء', 'احور', 'العمالx000d', 'اخدت', 'هاته', 'العوامل', 'ستري', 'اسعار', 'الدجاج', 'مواد', 'اخري', 'عاديه', 'خاصه', 'مقارنه', 'الاجور', '2005', '2025x000d', 'العمل', 'الرئيس', 'اللذي', 'يحدث', 'احساس', 'بالغلاء', 'نفسيه', 'المواطن', 'الناقم', 'علي', 'شيء', 'x000d', 'المتاثر', 'بالاسعار', 'الغلاء', 'الاسر', 'الفقيره', 'المحدوده', 'الدخلx000d', 'تحياتي']"
27041,منها1962 عاديه سيد كايقولك ففرنسا دجاج 13dh وحنا المغرب 17dh,négatif,منها1962 عاديه سيد كايقولك ففرنسا دجاج 13dh وحنا المغرب 17dh,"['منها1962', 'عاديه', 'سيد', 'كايقولك', 'ففرنسا', 'دجاج', '13dh', 'وحنا', 'المغرب', '17dh']"
27042,منها1962 بوت,neutre,منها1962 بوت,"['منها1962', 'بوت']"
27043,منها1962 كتبيع غلا فرنسا وكتفلسف علينا، الاحتكار والفساد وتخراج العينين,négatif,منها1962 كتبيع غلا فرنسا وكتفلسف علينا، الاحتكار والفساد وتخراج العينين,"['منها1962', 'كتبيع', 'غلا', 'فرنسا', 'وكتفلسف', 'علينا،', 'الاحتكار', 'والفساد', 'وتخراج', 'العينين']"
27044,اسعار لحم الدجاج الجزائر 480 دينار اي 29 درهم,neutre,اسعار لحم الدجاج الجزائر 480 دينار اي 29 درهم,"['اسعار', 'لحم', 'الدجاج', 'الجزائر', '480', 'دينار', 'اي', '29', 'درهم']"
27045,منها1962 صاف بدل منشوقو مشاكيلنا ونحلوها نحضيو الجيران، بهد العقليه مغنزيدوش القدام,négatif,منها1962 صاف بدل منشوقو مشاكيلنا ونحلوها نحضيو الجيران، بهد العقليه مغنزيدوش القدام,"['منها1962', 'صاف', 'بدل', 'منشوقو', 'مشاكيلنا', 'ونحلوها', 'نحضيو', 'الجيران،', 'بهد', 'العقليه', 'مغنزيدوش', 'القدام']"
27046,الله يكن ليهم فالعون هادوك الاحتكار والفساد فايتين العالم، زيد العقليه النخبه الحاكمه ماخلات حاد يتيق يتعامل معاهم ظروفهم خاصه الدعم وتمن غلي فراسا 50٪ فالوقت اللي التكلفه عمدم زايده علينا ربما اكتر 100٪ السيد واضح ناللي سمع ودنيه,négatif,الله يكن ليهم فالعون هادوك الاحتكار والفساد فايتين العالم، زيد العقليه النخبه الحاكمه ماخلات حاد يتيق يتعامل معاهم ظروفهم خاصه الدعم وتمن غلي فراسا 50٪ فالوقت اللي التكلفه عمدم زايده علينا ربما اكتر 100٪ السيد واضح ناللي سمع ودنيه,"['الله', 'يكن', 'ليهم', 'فالعون', 'هادوك', 'الاحتكار', 'والفساد', 'فايتين', 'العالم،', 'زيد', 'العقليه', 'النخبه', 'الحاكمه', 'ماخلات', 'حاد', 'يتيق', 'يتعامل', 'معاهم', 'ظروفهم', 'خاصه', 'الدعم', 'وتمن', 'غلي', 'فراسا', '50٪', 'فالوقت', 'اللي', 'التكلفه', 'عمدم', 'زايده', 'علينا', 'ربما', 'اكتر', '100٪', 'السيد', 'واضح', 'ناللي', 'سمع', 'ودنيه']"
27047,نفس طريقه كيف هدرتي لينا علا محروقات وهمتي بزاف ناس بكدب يعني وخا تكول مفيكش تيقا تقرير ديلك,négatif,نفس طريقه كيف هدرتي لينا علا محروقات وهمتي بزاف ناس بكدب يعني وخا تكول مفيكش تيقا تقرير ديلك,"['نفس', 'طريقه', 'كيف', 'هدرتي', 'لينا', 'علا', 'محروقات', 'وهمتي', 'بزاف', 'ناس', 'بكدب', 'يعني', 'وخا', 'تكول', 'مفيكش', 'تيقا', 'تقرير', 'ديلك']"
27048,هادشي قلتي كبييير دول الحق القانون احكام قاسيه الدوله مدايراش الدور ديالها والعفاريت والتماسح دايرين مابغاو الناس بدون رقيب ولا حسيب الناس ميمكنش تقاطع الدجاج تحرمات اللحم حتي حريرتها قريب حريره الدجاج دور مجلس الحسابات والمجالس الاخري الناس عيقو ادير تاويل الخير,négatif,هادشي قلتي كبييير دول الحق القانون احكام قاسيه الدوله مدايراش الدور ديالها والعفاريت والتماسح دايرين مابغاو الناس بدون رقيب ولا حسيب الناس ميمكنش تقاطع الدجاج تحرمات اللحم حتي حريرتها قريب حريره الدجاج دور مجلس الحسابات والمجالس الاخري الناس عيقو ادير تاويل الخير,"['هادشي', 'قلتي', 'كبييير', 'دول', 'الحق', 'القانون', 'احكام', 'قاسيه', 'الدوله', 'مدايراش', 'الدور', 'ديالها', 'والعفاريت', 'والتماسح', 'دايرين', 'مابغاو', 'الناس', 'بدون', 'رقيب', 'ولا', 'حسيب', 'الناس', 'ميمكنش', 'تقاطع', 'الدجاج', 'تحرمات', 'اللحم', 'حتي', 'حريرتها', 'قريب', 'حريره', 'الدجاج', 'دور', 'مجلس', 'الحسابات', 'والمجالس', 'الاخري', 'الناس', 'عيقو', 'ادير', 'تاويل', 'الخير']"
27049,هناك كذالك هيمنه كبار القوم ماديا، ومنصبا علي استيراد المواد الفلاحيه، كالدره والسمك الموجه لبروتينات، يجب الدهاب الموانئ وسوف تري بام عينك البواخر الكبيره المحمله بالدره والصوجا باسم اصحاب رؤوس الاموال الكبيره ولا السيطره علي جميع القطاعات، ودائما نفس الاشخاص وبطرق ملتويه، وبمساعده موظفي الاداراتالرشوه,négatif,هناك كذالك هيمنه كبار القوم ماديا، ومنصبا علي استيراد المواد الفلاحيه، كالدره والسمك الموجه لبروتينات، يجب الدهاب الموانئ وسوف تري بام عينك البواخر الكبيره المحمله بالدره والصوجا باسم اصحاب رؤوس الاموال الكبيره ولا السيطره علي جميع القطاعات، ودائما نفس الاشخاص وبطرق ملتويه، وبمساعده موظفي الاداراتالرشوه,"['هناك', 'كذالك', 'هيمنه', 'كبار', 'القوم', 'ماديا،', 'ومنصبا', 'علي', 'استيراد', 'المواد', 'الفلاحيه،', 'كالدره', 'والسمك', 'الموجه', 'لبروتينات،', 'يجب', 'الدهاب', 'الموانئ', 'وسوف', 'تري', 'بام', 'عينك', 'البواخر', 'الكبيره', 'المحمله', 'بالدره', 'والصوجا', 'باسم', 'اصحاب', 'رؤوس', 'الاموال', 'الكبيره', 'ولا', 'السيطره', 'علي', 'جميع', 'القطاعات،', 'ودائما', 'نفس', 'الاشخاص', 'وبطرق', 'ملتويه،', 'وبمساعده', 'موظفي', 'الاداراتالرشوه']"
27050,بلاذ الفساد,négatif,بلاذ الفساد,"['بلاذ', 'الفساد']"
27051,نستنتج السبب المباشر جشع اصحاب قطاع الدواجن عدم المراقبه طرف الدوله، السبب الغير المباشر الزبون اللذي يشتري رغم الغلاءاذا الحل يد الزبون المقاطعه,négatif,نستنتج السبب المباشر جشع اصحاب قطاع الدواجن عدم المراقبه طرف الدوله، السبب الغير المباشر الزبون اللذي يشتري رغم الغلاءاذا الحل يد الزبون المقاطعه,"['نستنتج', 'السبب', 'المباشر', 'جشع', 'اصحاب', 'قطاع', 'الدواجن', 'عدم', 'المراقبه', 'طرف', 'الدوله،', 'السبب', 'الغير', 'المباشر', 'الزبون', 'اللذي', 'يشتري', 'رغم', 'الغلاءاذا', 'الحل', 'يد', 'الزبون', 'المقاطعه']"
27052,ها الجيم,neutre,ها الجيم,"['ها', 'الجيم']"
27053,نفس البلان المحروقات الاحتكار تواطؤ الدوله شركات تجمع المال بالسلطه وعندهم مصالح مشتركه الغرف المغلقه النهايه المواطن غادي خلص الصالير بوه والشعب كينوض يدوي علي الفساد كيخرجو ليك العياشه الزلايجيه وعبيد المخزن هادوك خدامين اجندات اجنبيه اعداء الوطن,négatif,نفس البلان المحروقات الاحتكار تواطؤ الدوله شركات تجمع المال بالسلطه وعندهم مصالح مشتركه الغرف المغلقه النهايه المواطن غادي خلص الصالير بوه والشعب كينوض يدوي علي الفساد كيخرجو ليك العياشه الزلايجيه وعبيد المخزن هادوك خدامين اجندات اجنبيه اعداء الوطن,"['نفس', 'البلان', 'المحروقات', 'الاحتكار', 'تواطؤ', 'الدوله', 'شركات', 'تجمع', 'المال', 'بالسلطه', 'وعندهم', 'مصالح', 'مشتركه', 'الغرف', 'المغلقه', 'النهايه', 'المواطن', 'غادي', 'خلص', 'الصالير', 'بوه', 'والشعب', 'كينوض', 'يدوي', 'علي', 'الفساد', 'كيخرجو', 'ليك', 'العياشه', 'الزلايجيه', 'وعبيد', 'المخزن', 'هادوك', 'خدامين', 'اجندات', 'اجنبيه', 'اعداء', 'الوطن']"
27054,احسن حاجه ناكلوش الدجاج اصلا,négatif,احسن حاجه ناكلوش الدجاج اصلا,"['احسن', 'حاجه', 'ناكلوش', 'الدجاج', 'اصلا']"
27055,بسبب الرؤيه النبيهه زباله تاريخ المغرب,négatif,بسبب الرؤيه النبيهه زباله تاريخ المغرب,"['بسبب', 'الرؤيه', 'النبيهه', 'زباله', 'تاريخ', 'المغرب']"
27056,الحل المثالي المقاطعه حتي يتراجع يحتكر السوق,négatif,الحل المثالي المقاطعه حتي يتراجع يحتكر السوق,"['الحل', 'المثالي', 'المقاطعه', 'حتي', 'يتراجع', 'يحتكر', 'السوق']"
27057,شكون الشركات اللي محتكره؟؟؟؟ بغينا اسماء,neutre,شكون الشركات اللي محتكره؟؟؟؟ بغينا اسماء,"['شكون', 'الشركات', 'اللي', 'محتكره؟؟؟؟', 'بغينا', 'اسماء']"
27058,الفساد ابهي حله السماسريه دخلو علي كلشي هاداك ماشي المخطط المغرب الاخضر هذاك مخطط السرقه المقننه,négatif,الفساد ابهي حله السماسريه دخلو علي كلشي هاداك ماشي المخطط المغرب الاخضر هذاك مخطط السرقه المقننه,"['الفساد', 'ابهي', 'حله', 'السماسريه', 'دخلو', 'علي', 'كلشي', 'هاداك', 'ماشي', 'المخطط', 'المغرب', 'الاخضر', 'هذاك', 'مخطط', 'السرقه', 'المقننه']"
27059,نستنتج بان اخد قرار يجب المواطن بالمقاطعه للجوء تدخل الملك نصره الله لان هؤلاء الكلب لايسغون المواطن فتدخل الملك سيلجمهم سيرضخون قوانين,négatif,نستنتج بان اخد قرار يجب المواطن بالمقاطعه للجوء تدخل الملك نصره الله لان هؤلاء الكلب لايسغون المواطن فتدخل الملك سيلجمهم سيرضخون قوانين,"['نستنتج', 'بان', 'اخد', 'قرار', 'يجب', 'المواطن', 'بالمقاطعه', 'للجوء', 'تدخل', 'الملك', 'نصره', 'الله', 'لان', 'هؤلاء', 'الكلب', 'لايسغون', 'المواطن', 'فتدخل', 'الملك', 'سيلجمهم', 'سيرضخون', 'قوانين']"
27060,دوي علي المخطط الاسود داير بزااف المشاكل,négatif,دوي علي المخطط الاسود داير بزااف المشاكل,"['دوي', 'علي', 'المخطط', 'الاسود', 'داير', 'بزااف', 'المشاكل']"
27061,جميع القطاعات نفس الطريقه الاسعار تتطلع تتنخفض بوتيره بطيئه جدا بسبب الفراقشيه وانعدام المراقبه الدوله اللوبيات مراكز القرار يدافعون مصالحهم,négatif,جميع القطاعات نفس الطريقه الاسعار تتطلع تتنخفض بوتيره بطيئه جدا بسبب الفراقشيه وانعدام المراقبه الدوله اللوبيات مراكز القرار يدافعون مصالحهم,"['جميع', 'القطاعات', 'نفس', 'الطريقه', 'الاسعار', 'تتطلع', 'تتنخفض', 'بوتيره', 'بطيئه', 'جدا', 'بسبب', 'الفراقشيه', 'وانعدام', 'المراقبه', 'الدوله', 'اللوبيات', 'مراكز', 'القرار', 'يدافعون', 'مصالحهم']"
27062,دائما ننتظر المستقبل لتنفيذ الحلول، لماذا توجد السرعه اتخاذ القرار حل المشكل؟,négatif,دائما ننتظر المستقبل لتنفيذ الحلول، لماذا توجد السرعه اتخاذ القرار حل المشكل؟,"['دائما', 'ننتظر', 'المستقبل', 'لتنفيذ', 'الحلول،', 'لماذا', 'توجد', 'السرعه', 'اتخاذ', 'القرار', 'حل', 'المشكل؟']"
27063,مستنقع الفساد,négatif,مستنقع الفساد,"['مستنقع', 'الفساد']"
27064,اجيو نديرو مقاطعه لدجاج الهرمونات المعدل جينيا وندمو اولاد الحوع,négatif,اجيو نديرو مقاطعه لدجاج الهرمونات المعدل جينيا وندمو اولاد الحوع,"['اجيو', 'نديرو', 'مقاطعه', 'لدجاج', 'الهرمونات', 'المعدل', 'جينيا', 'وندمو', 'اولاد', 'الحوع']"
27065,باش تطور دجاجه لاحمه كالروس ولا الكوب خاصنا اربعين سنه الاختبارات والابحاث والتطوير روسيا توصلاتش لسلاله لاحمه هجينه محليه باش تستقل اقتصاديا الغرب حيت تا هما كيستوردو الفلوس تخيل الحل تطوير سلاله وطنيه مغربيه ويتدعم البحث العلمي الاتجاه كنتي فعلا كتبحث علي الامن الغذائي والسياده,positif,باش تطور دجاجه لاحمه كالروس ولا الكوب خاصنا اربعين سنه الاختبارات والابحاث والتطوير روسيا توصلاتش لسلاله لاحمه هجينه محليه باش تستقل اقتصاديا الغرب حيت تا هما كيستوردو الفلوس تخيل الحل تطوير سلاله وطنيه مغربيه ويتدعم البحث العلمي الاتجاه كنتي فعلا كتبحث علي الامن الغذائي والسياده,"['باش', 'تطور', 'دجاجه', 'لاحمه', 'كالروس', 'ولا', 'الكوب', 'خاصنا', 'اربعين', 'سنه', 'الاختبارات', 'والابحاث', 'والتطوير', 'روسيا', 'توصلاتش', 'لسلاله', 'لاحمه', 'هجينه', 'محليه', 'باش', 'تستقل', 'اقتصاديا', 'الغرب', 'حيت', 'تا', 'هما', 'كيستوردو', 'الفلوس', 'تخيل', 'الحل', 'تطوير', 'سلاله', 'وطنيه', 'مغربيه', 'ويتدعم', 'البحث', 'العلمي', 'الاتجاه', 'كنتي', 'فعلا', 'كتبحث', 'علي', 'الامن', 'الغذائي', 'والسياده']"
27066,الحل مقاطعه الدجاج حين دوك محتاكرين السوق العلف يطيحو الثمن,négatif,الحل مقاطعه الدجاج حين دوك محتاكرين السوق العلف يطيحو الثمن,"['الحل', 'مقاطعه', 'الدجاج', 'حين', 'دوك', 'محتاكرين', 'السوق', 'العلف', 'يطيحو', 'الثمن']"
27067,كنشكرو الطاقم سوينغا جمع المعلومات كتفرش الفساد واقع بطريقه مباشره,positif,كنشكرو الطاقم سوينغا جمع المعلومات كتفرش الفساد واقع بطريقه مباشره,"['كنشكرو', 'الطاقم', 'سوينغا', 'جمع', 'المعلومات', 'كتفرش', 'الفساد', 'واقع', 'بطريقه', 'مباشره']"
27068,so basically mfs bi3o l3elf maty7ouch taman 2014 7itach tm3o khlawna nchriw djaj 30 dh,négatif,so basically mfs bi3o l3elf maty7ouch taman 2014 7itach tm3o khlawna nchriw djaj 30 dh,"['so', 'basically', 'mfs', 'bi3o', 'l3elf', 'maty7ouch', 'taman', '2014', '7itach', 'tm3o', 'khlawna', 'nchriw', 'djaj', '30', 'dh']"
27069,الاخوان كامل احترامي خونا الزياده بزاف الكدوب ميغركمش العناوين كيدير باش يجدب اكبر عدد المتفرجيين,négatif,الاخوان كامل احترامي خونا الزياده بزاف الكدوب ميغركمش العناوين كيدير باش يجدب اكبر عدد المتفرجيين,"['الاخوان', 'كامل', 'احترامي', 'خونا', 'الزياده', 'بزاف', 'الكدوب', 'ميغركمش', 'العناوين', 'كيدير', 'باش', 'يجدب', 'اكبر', 'عدد', 'المتفرجيين']"
27070,الذهب,neutre,الذهب,['الذهب']
